,query,before,after,reduction
98,reset wifi password,93,84,9.67741935483871
99,school,97,96,1.0309278350515463
100,Science de l espace,99,97,2.0202020202020203
101,sensors data compression techniques,74,65,12.162162162162163
102,sept merveilles du monde,99,63,36.36363636363637
103,Seven wonders of the world,91,52,42.857142857142854
104,Shakespeare,96,83,13.541666666666666
105,skin care,90,89,1.1111111111111112
106,software engineer,92,88,4.3478260869565215
107,steve harvey,97,94,3.0927835051546393
108,stomach pain,96,78,18.75
109,stone ages,87,80,8.045977011494253
110,symptoms of depression,96,57,40.625
111,Symptômes du diabète,97,62,36.08247422680412
112,tallest man in the world,93,88,5.376344086021505
113,The highest peak in the world,93,69,25.806451612903224
114,the mona lisa,96,68,29.166666666666668
115,The shortest person in the world,96,79,17.708333333333336
116,the story of galata tower,95,53,44.21052631578947
117,Théorie de la relativité,98,78,20.408163265306122
118,toulouse incendie 1463,100,85,15.0
119,tourism in rome,93,71,23.655913978494624
120,turkey,96,90,6.25
121,vie du Jésus,97,79,18.556701030927837
122,web,97,96,1.0309278350515463
123,what does NASA do,95,88,7.368421052631578
124,worlds best universities,97,90,7.216494845360824
125,worlds biggest country,96,78,18.75
126,أسباب الصداع,100,98,2.0
127,استقلال لبنان من الانتداب الفرنسي,97,92,5.154639175257731
128,البيانات الضخمة,97,93,4.123711340206185
129,الحرب الصينية الامريكية,96,94,2.083333333333333
130,الفينيقيين,99,98,1.0101010101010102
131,النظرية النسبية,97,95,2.0618556701030926
132,انترنت الاشياء,99,99,0.0
133,انهيار الدولة العثمانية,97,94,3.0927835051546393
134,تأثير الحرائق على التربة و البيئة,100,96,4.0
135,حياة النبي عيسى,97,79,18.556701030927837
136,حياة كريستيانو رونالدو,95,86,9.473684210526317
137,دورة الماء,95,93,2.1052631578947367
138,شكل الكرة الارضية,95,95,0.0
139,طبقة الاوزون,98,94,4.081632653061225
140,عالم الفضاء,95,95,0.0
141,عدد المجرات واسمائها,89,86,3.3707865168539324
142,علاج ألم الاسنان,100,99,1.0
143,علاج الانفلونزا,100,98,2.0
144,عوارض مرض السكري,100,100,0.0
145,قنبلة هيروشيما,100,99,1.0
146,كورونا فيروس,99,98,1.0101010101010102
147,مشكلة جوجل و اوراكل,99,98,1.0101010101010102
148,موسم جمع الصنوبر,97,75,22.68041237113402
149,نظام الكيتو,98,96,2.0408163265306123
