39,eye surgery,91.67,89.58,85.42,81.25,79.17,69.79,52.08,27.08,0.00,0.00
40,finance,65.26,61.05,48.42,32.63,26.32,14.74,2.11,1.05,0.00,0.00
41,first person on the moon,86.02,83.87,80.65,79.57,79.57,75.27,64.52,39.78,0.00,0.00
42,First World War,82.11,80.00,78.95,76.84,74.74,67.37,55.79,35.79,1.05,0.00
43,football,54.55,48.48,35.35,27.27,25.25,18.18,9.09,3.03,1.01,1.01
44,guerre américaine japonaise,75.51,72.45,71.43,69.39,65.31,58.16,41.84,21.43,1.02,1.02
45,Headache,93.88,89.80,83.67,79.59,79.59,61.22,46.94,18.37,0.00,0.00
46,histoire de la suisse,72.63,71.58,67.37,61.05,58.95,48.42,34.74,17.89,1.05,1.05
47,History of Buddhism in India,83.15,83.15,80.90,77.53,77.53,70.79,61.80,40.45,5.62,2.25
48,Hitler,80.00,78.82,76.47,70.59,69.41,56.47,25.88,14.12,1.18,0.00
49,how many leters should we drink in a day,90.91,90.91,88.89,87.88,85.86,78.79,65.66,40.40,1.01,1.01
50,how to make money online,80.65,78.49,77.42,75.27,74.19,73.12,70.97,61.29,0.00,0.00
51,install eclipse windows 10,84.62,79.12,70.33,68.13,61.54,46.15,19.78,5.49,2.20,2.20
52,internet of things,84.04,82.98,79.79,74.47,73.40,63.83,50.00,36.17,0.00,0.00
53,inventor of electricity,84.38,84.38,80.21,78.12,76.04,69.79,52.08,19.79,2.08,1.04
54,iphone 12 pro max,63.64,60.23,53.41,47.73,45.45,34.09,26.14,12.50,0.00,0.00
55,istanbul,74.47,71.28,60.64,53.19,44.68,38.30,22.34,9.57,0.00,0.00
56,italian pasta recipes,71.28,67.02,62.77,55.32,51.06,40.43,28.72,8.51,0.00,0.00
57,java,58.06,51.61,35.48,24.73,22.58,12.90,4.30,1.08,0.00,0.00
58,joelle mardinian fashion program,64.52,59.14,50.54,43.01,37.63,22.58,13.98,5.38,1.08,0.00
59,l histoire de la France,69.70,65.66,61.62,56.57,55.56,41.41,35.35,27.27,3.03,1.01
60,L indépendance du Liban,75.26,75.26,72.16,69.07,65.98,57.73,48.45,23.71,2.06,2.06
61,L Internet des objets,89.69,87.63,83.51,81.44,79.38,74.23,56.70,38.14,0.00,0.00
62,la grippe,73.74,73.74,71.72,67.68,65.66,53.54,40.40,22.22,0.00,0.00
63,La naissance de la Terre,63.64,60.61,57.58,52.53,49.49,43.43,30.30,18.18,1.01,0.00
64,la science des champignons,69.07,60.82,52.58,46.39,40.21,28.87,10.31,6.19,3.09,1.03
65,lac de zurich,71.43,66.33,55.10,47.96,45.92,27.55,14.29,7.14,0.00,0.00
66,laptop cannot connect to wifi,79.35,73.91,67.39,61.96,59.78,50.00,36.96,8.70,3.26,3.26
67,lasik eye surgery,94.85,94.85,92.78,89.69,87.63,81.44,63.92,30.93,0.00,0.00
68,le cycle du carbone,63.92,60.82,55.67,52.58,50.52,45.36,34.02,20.62,1.03,1.03
69,learn english at home,81.25,79.17,72.92,64.58,60.42,47.92,33.33,16.67,1.04,0.00
